"dvalor","Freq","dlanzado","dguardado","Per"
"95",1,33,19,0.000204498977505112
"99",1,33,19,0.000204498977505112
"106",1,33,19,0.000204498977505112
"109",2,33,19,0.000204498977505112
"110",2,33,19,0.000204498977505112
"111",1,33,19,0.000204498977505112
"112",1,33,19,0.000204498977505112
"113",1,33,19,0.000204498977505112
"114",4,33,19,0.000204498977505112
"115",5,33,19,0.000204498977505112
"116",6,33,19,0.000204498977505112
"117",6,33,19,0.000204498977505112
"118",3,33,19,0.000204498977505112
"119",4,33,19,0.000204498977505112
"120",10,33,19,0.000204498977505112
"121",6,33,19,0.000204498977505112
"122",6,33,19,0.000204498977505112
"123",14,33,19,0.000204498977505112
"124",9,33,19,0.000204498977505112
"125",20,33,19,0.000204498977505112
"126",19,33,19,0.000204498977505112
"127",13,33,19,0.000204498977505112
"128",27,33,19,0.000204498977505112
"129",26,33,19,0.000204498977505112
"130",19,33,19,0.000204498977505112
"131",27,33,19,0.000204498977505112
"132",30,33,19,0.000204498977505112
"133",46,33,19,0.000204498977505112
"134",47,33,19,0.000204498977505112
"135",32,33,19,0.000204498977505112
"136",44,33,19,0.000204498977505112
"137",48,33,19,0.000204498977505112
"138",38,33,19,0.000204498977505112
"139",63,33,19,0.000204498977505112
"140",73,33,19,0.000204498977505112
"141",61,33,19,0.000204498977505112
"142",52,33,19,0.000204498977505112
"143",62,33,19,0.000204498977505112
"144",69,33,19,0.000204498977505112
"145",61,33,19,0.000204498977505112
"146",75,33,19,0.000204498977505112
"147",86,33,19,0.000204498977505112
"148",81,33,19,0.000204498977505112
"149",80,33,19,0.000204498977505112
"150",75,33,19,0.000204498977505112
"151",99,33,19,0.000204498977505112
"152",79,33,19,0.000204498977505112
"153",88,33,19,0.000204498977505112
"154",87,33,19,0.000204498977505112
"155",86,33,19,0.000204498977505112
"156",88,33,19,0.000204498977505112
"157",93,33,19,0.000204498977505112
"158",95,33,19,0.000204498977505112
"159",86,33,19,0.000204498977505112
"160",89,33,19,0.000204498977505112
"161",101,33,19,0.000204498977505112
"162",102,33,19,0.000204498977505112
"163",101,33,19,0.000204498977505112
"164",97,33,19,0.000204498977505112
"165",118,33,19,0.000204498977505112
"166",95,33,19,0.000204498977505112
"167",82,33,19,0.000204498977505112
"168",81,33,19,0.000204498977505112
"169",84,33,19,0.000204498977505112
"170",85,33,19,0.000204498977505112
"171",77,33,19,0.000204498977505112
"172",86,33,19,0.000204498977505112
"173",74,33,19,0.000204498977505112
"174",70,33,19,0.000204498977505112
"175",81,33,19,0.000204498977505112
"176",77,33,19,0.000204498977505112
"177",77,33,19,0.000204498977505112
"178",67,33,19,0.000204498977505112
"179",55,33,19,0.000204498977505112
"180",74,33,19,0.000204498977505112
"181",55,33,19,0.000204498977505112
"182",66,33,19,0.000204498977505112
"183",52,33,19,0.000204498977505112
"184",45,33,19,0.000204498977505112
"185",39,33,19,0.000204498977505112
"186",46,33,19,0.000204498977505112
"187",43,33,19,0.000204498977505112
"188",35,33,19,0.000204498977505112
"189",38,33,19,0.000204498977505112
"190",35,33,19,0.000204498977505112
"191",30,33,19,0.000204498977505112
"192",28,33,19,0.000204498977505112
"193",28,33,19,0.000204498977505112
"194",32,33,19,0.000204498977505112
"195",38,33,19,0.000204498977505112
"196",31,33,19,0.000204498977505112
"197",22,33,19,0.000204498977505112
"198",22,33,19,0.000204498977505112
"199",13,33,19,0.000204498977505112
"200",19,33,19,0.000204498977505112
"201",20,33,19,0.000204498977505112
"202",20,33,19,0.000204498977505112
"203",17,33,19,0.000204498977505112
"204",7,33,19,0.000204498977505112
"205",17,33,19,0.000204498977505112
"206",15,33,19,0.000204498977505112
"207",14,33,19,0.000204498977505112
"208",11,33,19,0.000204498977505112
"209",13,33,19,0.000204498977505112
"210",12,33,19,0.000204498977505112
"211",7,33,19,0.000204498977505112
"212",8,33,19,0.000204498977505112
"213",6,33,19,0.000204498977505112
"214",9,33,19,0.000204498977505112
"215",6,33,19,0.000204498977505112
"216",5,33,19,0.000204498977505112
"217",6,33,19,0.000204498977505112
"218",2,33,19,0.000204498977505112
"219",10,33,19,0.000204498977505112
"220",7,33,19,0.000204498977505112
"221",3,33,19,0.000204498977505112
"222",2,33,19,0.000204498977505112
"223",5,33,19,0.000204498977505112
"224",3,33,19,0.000204498977505112
"225",4,33,19,0.000204498977505112
"227",2,33,19,0.000204498977505112
"228",2,33,19,0.000204498977505112
"229",3,33,19,0.000204498977505112
"231",1,33,19,0.000204498977505112
"232",1,33,19,0.000204498977505112
"234",1,33,19,0.000204498977505112
"237",1,33,19,0.000204498977505112
"239",1,33,19,0.000204498977505112
"251",1,33,19,0.000204498977505112
