"x3","Freq","Per"
"9",1,0.000229305205228159
"12",1,0.000229305205228159
"13",1,0.000229305205228159
"14",5,0.00114652602614079
"15",4,0.000917220820912635
"16",5,0.00114652602614079
"17",14,0.00321027287319422
"18",14,0.00321027287319422
"19",18,0.00412749369410686
"20",34,0.00779637697775739
"21",44,0.010089429030039
"22",58,0.0132997019032332
"23",81,0.0185737216234809
"24",98,0.0224719101123595
"25",123,0.0282045402430635
"26",182,0.0417335473515249
"27",175,0.0401284109149278
"28",198,0.0454024306351754
"29",195,0.0447145150194909
"30",237,0.0543453336390736
"31",200,0.0458610410456317
"32",219,0.0502178399449668
"33",213,0.0488420087135978
"34",157,0.0360009172208209
"35",178,0.0408163265306122
"36",173,0.0396698005044714
"37",153,0.0350836963999083
"38",155,0.0355423068103646
"39",122,0.0279752350378354
"40",132,0.0302682870901169
"41",128,0.0293510662692043
"42",122,0.0279752350378354
"43",97,0.0222426049071314
"44",105,0.0240770465489567
"45",86,0.0197202476496216
"46",69,0.0158220591607429
"47",65,0.0149048383398303
"48",53,0.0121531758770924
"49",61,0.0139876175189177
"50",40,0.00917220820912635
"51",39,0.00894290300389819
"52",48,0.0110066498509516
"53",34,0.00779637697775739
"54",20,0.00458610410456317
"55",25,0.00573263013070397
"56",15,0.00343957807842238
"57",21,0.00481540930979133
"58",25,0.00573263013070397
"59",22,0.00504471451501949
"60",7,0.00160513643659711
"61",21,0.00481540930979133
"62",6,0.00137583123136895
"63",10,0.00229305205228159
"64",13,0.00298096766796606
"65",9,0.00206374684705343
"66",5,0.00114652602614079
"67",3,0.000687915615684476
"68",6,0.00137583123136895
"70",1,0.000229305205228159
"71",3,0.000687915615684476
"72",2,0.000458610410456317
"74",1,0.000229305205228159
"75",2,0.000458610410456317
"76",2,0.000458610410456317
"77",1,0.000229305205228159
"79",2,0.000458610410456317
"82",1,0.000229305205228159
"86",1,0.000229305205228159
