"x3","Freq","Per"
"13",1,0.000810372771474878
"14",1,0.000810372771474878
"15",3,0.00243111831442464
"16",3,0.00243111831442464
"17",5,0.00405186385737439
"18",3,0.00243111831442464
"19",7,0.00567260940032415
"20",7,0.00567260940032415
"21",18,0.0145867098865478
"22",24,0.0194489465153971
"23",28,0.0226904376012966
"24",33,0.026742301458671
"25",34,0.0275526742301459
"26",43,0.0348460291734198
"27",53,0.0429497568881686
"28",50,0.0405186385737439
"29",52,0.0421393841166937
"30",64,0.0518638573743922
"31",52,0.0421393841166937
"32",59,0.0478119935170178
"33",54,0.0437601296596434
"34",65,0.0526742301458671
"35",41,0.03322528363047
"36",45,0.0364667747163695
"37",33,0.026742301458671
"38",41,0.03322528363047
"39",40,0.0324149108589951
"40",37,0.0299837925445705
"41",39,0.0316045380875203
"42",43,0.0348460291734198
"43",29,0.0235008103727715
"44",17,0.0137763371150729
"45",26,0.0210696920583468
"46",22,0.0178282009724473
"47",15,0.0121555915721232
"48",21,0.0170178282009724
"49",15,0.0121555915721232
"50",15,0.0121555915721232
"51",16,0.0129659643435981
"52",12,0.00972447325769854
"53",12,0.00972447325769854
"54",5,0.00405186385737439
"55",3,0.00243111831442464
"56",6,0.00486223662884927
"57",9,0.00729335494327391
"58",8,0.00648298217179903
"59",1,0.000810372771474878
"60",3,0.00243111831442464
"61",4,0.00324149108589951
"62",1,0.000810372771474878
"63",2,0.00162074554294976
"64",3,0.00243111831442464
"65",2,0.00162074554294976
"67",2,0.00162074554294976
"68",1,0.000810372771474878
"70",1,0.000810372771474878
"71",2,0.00162074554294976
"73",2,0.00162074554294976
"75",1,0.000810372771474878
