"x3","Freq","Per"
"12",1,0.00029708853238265
"13",2,0.0005941770647653
"15",2,0.0005941770647653
"16",1,0.00029708853238265
"17",10,0.0029708853238265
"18",12,0.0035650623885918
"19",21,0.00623885918003565
"20",24,0.0071301247771836
"21",43,0.012774806892454
"22",53,0.0157456922162805
"23",59,0.0175282234105764
"24",91,0.0270350564468212
"25",96,0.0285204991087344
"26",86,0.0255496137849079
"27",118,0.0350564468211527
"28",153,0.0454545454545455
"29",160,0.047534165181224
"30",159,0.0472370766488414
"31",190,0.0564468211527035
"32",180,0.053475935828877
"33",151,0.0448603683897802
"34",147,0.0436720142602496
"35",132,0.0392156862745098
"36",115,0.0341651812240048
"37",120,0.035650623885918
"38",102,0.0303030303030303
"39",104,0.0308972073677956
"40",122,0.0362448009506833
"41",91,0.0270350564468212
"42",87,0.0258467023172906
"43",84,0.0249554367201426
"44",69,0.0204991087344029
"45",59,0.0175282234105764
"46",59,0.0175282234105764
"47",36,0.0106951871657754
"48",47,0.0139631610219846
"49",46,0.0136660724896019
"50",34,0.0101010101010101
"51",42,0.0124777183600713
"52",30,0.0089126559714795
"53",32,0.0095068330362448
"54",18,0.0053475935828877
"55",24,0.0071301247771836
"56",21,0.00623885918003565
"57",21,0.00623885918003565
"58",21,0.00623885918003565
"59",12,0.0035650623885918
"60",13,0.00386215092097445
"61",11,0.00326797385620915
"62",7,0.00207961972667855
"63",4,0.0011883541295306
"64",8,0.0023767082590612
"65",4,0.0011883541295306
"66",5,0.00148544266191325
"68",3,0.00089126559714795
"69",3,0.00089126559714795
"70",2,0.0005941770647653
"71",3,0.00089126559714795
"72",2,0.0005941770647653
"73",5,0.00148544266191325
"74",2,0.0005941770647653
"76",2,0.0005941770647653
"80",1,0.00029708853238265
"81",1,0.00029708853238265
"82",1,0.00029708853238265
"86",1,0.00029708853238265
"89",1,0.00029708853238265
