"x3","Freq","Per"
"13",2,0.000858369098712446
"15",4,0.00171673819742489
"16",4,0.00171673819742489
"17",7,0.00300429184549356
"18",6,0.00257510729613734
"19",6,0.00257510729613734
"20",19,0.00815450643776824
"21",25,0.0107296137339056
"22",32,0.0137339055793991
"23",40,0.0171673819742489
"24",64,0.0274678111587983
"25",55,0.0236051502145923
"26",70,0.0300429184549356
"27",92,0.0394849785407725
"28",115,0.0493562231759657
"29",125,0.0536480686695279
"30",106,0.0454935622317597
"31",114,0.0489270386266094
"32",112,0.048068669527897
"33",107,0.0459227467811159
"34",90,0.0386266094420601
"35",91,0.0390557939914163
"36",80,0.0343347639484979
"37",90,0.0386266094420601
"38",100,0.0429184549356223
"39",81,0.0347639484978541
"40",69,0.0296137339055794
"41",64,0.0274678111587983
"42",70,0.0300429184549356
"43",51,0.0218884120171674
"44",57,0.0244635193133047
"45",35,0.0150214592274678
"46",49,0.0210300429184549
"47",33,0.0141630901287554
"48",26,0.0111587982832618
"49",21,0.00901287553648069
"50",29,0.0124463519313305
"51",21,0.00901287553648069
"52",24,0.0103004291845494
"53",26,0.0111587982832618
"54",24,0.0103004291845494
"55",13,0.0055793991416309
"56",11,0.00472103004291845
"57",14,0.00600858369098712
"58",3,0.00128755364806867
"59",6,0.00257510729613734
"60",5,0.00214592274678112
"61",11,0.00472103004291845
"62",6,0.00257510729613734
"63",4,0.00171673819742489
"64",4,0.00171673819742489
"65",3,0.00128755364806867
"68",1,0.000429184549356223
"69",3,0.00128755364806867
"71",3,0.00128755364806867
"72",1,0.000429184549356223
"73",2,0.000858369098712446
"74",2,0.000858369098712446
"75",2,0.000858369098712446
