"x3","Freq","Per"
"13",1,0.000444642063139173
"14",2,0.000889284126278346
"15",3,0.00133392618941752
"16",1,0.000444642063139173
"17",3,0.00133392618941752
"18",9,0.00400177856825256
"19",5,0.00222321031569586
"20",23,0.010226767452201
"21",28,0.0124499777678968
"22",26,0.0115606936416185
"23",35,0.0155624722098711
"24",57,0.0253445975989329
"25",66,0.0293463761671854
"26",92,0.0409070698088039
"27",78,0.0346820809248555
"28",103,0.0457981325033348
"29",115,0.0511338372610049
"30",109,0.0484659848821699
"31",133,0.05913739439751
"32",99,0.0440195642507781
"33",117,0.0520231213872832
"34",84,0.0373499333036905
"35",95,0.0422409959982214
"36",85,0.0377945753668297
"37",75,0.033348154735438
"38",78,0.0346820809248555
"39",82,0.0364606491774122
"40",63,0.0280124499777679
"41",57,0.0253445975989329
"42",60,0.0266785237883504
"43",64,0.0284570920409071
"44",40,0.0177856825255669
"45",46,0.020453534904402
"46",43,0.0191196087149844
"47",23,0.010226767452201
"48",22,0.0097821253890618
"49",33,0.0146731880835927
"50",28,0.0124499777678968
"51",36,0.0160071142730102
"52",17,0.00755891507336594
"53",15,0.00666963094708759
"54",11,0.0048910626945309
"55",13,0.00578034682080925
"56",7,0.00311249444197421
"57",8,0.00355713650511338
"58",8,0.00355713650511338
"59",12,0.00533570475767008
"60",1,0.000444642063139173
"61",3,0.00133392618941752
"62",7,0.00311249444197421
"63",3,0.00133392618941752
"64",5,0.00222321031569586
"65",1,0.000444642063139173
"66",3,0.00133392618941752
"67",3,0.00133392618941752
"68",2,0.000889284126278346
"69",4,0.00177856825255669
"73",2,0.000889284126278346
"74",2,0.000889284126278346
"76",1,0.000444642063139173
"78",2,0.000889284126278346
